Title,Link,Journal Title,Publication Year,Authors,DOI,Keywords,Citations (in PMC),Citations (Crossref),Citations (OpenAlex),Citations (Semantic Scholar),Influential Citations,Altmetric Score,Mendeley Readers,Social Media Mentions,OpenAlex Concepts,TLDR Summary,Journal Title,Publication Year,Authors,DOI,Keywords,FieldsOfStudy,Citations (in PMC),Citations (Crossref),Citations (OpenAlex),Citations (Semantic Scholar),Influential Citations,Altmetric Score,Mendeley Readers,Social Media Mentions,OpenAlex Concepts,TLDR Summary,Full Text Link
Bone remodeling is regulated by inner ear vestibular signals,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6615562/,Bone,2019.0,"Chike Cao, Aaron B. Oswald, Brian A. Fabella, Yinshi Ren, Ramona Rodriguiz, George Trainor, Matthew B. Greenblatt, Matthew J. Hilton, Geoffrey S. Pitt",10.1016/j.bone.2019.05.024,,,22.0,23.0,16.0,0.0,0.25,22.0,2.0,"RANKL, Osteoclast, Osteoprotegerin, Osteoblast, Bone resorption","The hypothesis that Ca2+ influx through CaV1.2TS mutant channel contributes to the observed morphological changes of the ear bones is supported, and insight is provided into potential pathological mechanisms underlying perturbed OPG expression and otosclerosis.",Bone,2019.0,"Chike Cao, Aaron B. Oswald, Brian A. Fabella, Yinshi Ren, Ramona Rodriguiz, George Trainor, Matthew B. Greenblatt, Matthew J. Hilton, Geoffrey S. Pitt",10.1016/j.bone.2019.05.024,,"['Biology', 'Medicine']",,22.0,23.0,16.0,0.0,0.25,22,2.0,"RANKL, Osteoclast, Osteoprotegerin, Osteoblast, Bone resorption","The hypothesis that Ca2+ influx through CaV1.2TS mutant channel contributes to the observed morphological changes of the ear bones is supported, and insight is provided into potential pathological mechanisms underlying perturbed OPG expression and otosclerosis.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6615562
Simulated Microgravity Enhances Oligodendrocyte Mitochondrial Function and Lipid Metabolism,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7324008/,Journal of Neuroscience Research,2016.0,"Araceli Espinosa‐Jeffrey, Kevin Nguyen, Shalini Kumar, Ochiai Toshimasa, Ryuji Hirose, Karen Reue, Laurent Vergnes, Jason Kinchen, Jean de Vellis",10.1002/jnr.23958,,,25.0,28.0,27.0,0.0,0.75,44.0,2.0,"Oligodendrocyte, Function (biology), Lipid metabolism, Metabolism, Mitochondrion","It is believed that studies using microgravity will open new avenues to the understanding of the brain in health and disease—in particular, to the discovery of new molecules and mechanisms impossible to unveil while in 1G.",Journal of Neuroscience Research,2016.0,"Araceli Espinosa‐Jeffrey, Kevin Nguyen, Shalini Kumar, Ochiai Toshimasa, Ryuji Hirose, Karen Reue, Laurent Vergnes, Jason Kinchen, Jean de Vellis",10.1002/jnr.23958,,"['Biology', 'Medicine']",,25.0,28.0,27.0,0.0,0.75,44,2.0,"Oligodendrocyte, Function (biology), Lipid metabolism, Metabolism, Mitochondrion","It is believed that studies using microgravity will open new avenues to the understanding of the brain in health and disease—in particular, to the discovery of new molecules and mechanisms impossible to unveil while in 1G.",https://europepmc.org/articles/pmc7324008?pdf=render
Human Neural Stem Cells Flown into Space Proliferate and Generate Young Neurons,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8412175/,Applied Sciences,2019.0,"Carlos Cepeda, Laurent Vergnes, Nicholas Carpo, Matthew J. Schibler, Laurent A. Bentolila, Fathi Karouia, Araceli Espinosa-Jeffrey",10.3390/app9194042,,,12.0,16.0,11.0,0.0,,,,"Neural stem cell, Neuroscience, Electrophysiology, Biology, Cell","It is demonstrated that human neural stem cells (NSCs) proliferate while in space and they express specific NSC markers after being in space, and these cells kept their ability to become young neurons.",Applied Sciences,2019.0,"Carlos Cepeda, Laurent Vergnes, Nicholas Carpo, Matthew J. Schibler, Laurent A. Bentolila, Fathi Karouia, Araceli Espinosa-Jeffrey",10.3390/app9194042,,"['Engineering', 'Medicine']",,12.0,16.0,11.0,0.0,,,,"Neural stem cell, Neuroscience, Electrophysiology, Biology, Cell","It is demonstrated that human neural stem cells (NSCs) proliferate while in space and they express specific NSC markers after being in space, and these cells kept their ability to become young neurons.",https://www.mdpi.com/2076-3417/9/19/4042/pdf?version=1570341931
Delayed Maturation of Oligodendrocyte Progenitors by Microgravity: Implications for Multiple Sclerosis and Space Flight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10607959/,Life,2023.0,"Victoria Tran, Nicholas Carpo, Sophia Shaka, Joile Zamudio, Sungshin Choi, Carlos Cepeda, Araceli Espinosa-Jeffrey",10.3390/life13102051,,,0.0,0.0,0.0,0.0,,,,"Multiple sclerosis, Progenitor cell, Biology, Oligodendrocyte, Neuroscience",,Life,2023.0,"Victoria Tran, Nicholas Carpo, Sophia Shaka, Joile Zamudio, Sungshin Choi, Carlos Cepeda, Araceli Espinosa-Jeffrey",10.3390/life13102051,,['Medicine'],,0.0,0.0,0.0,0.0,,,,"Multiple sclerosis, Progenitor cell, Biology, Oligodendrocyte, Neuroscience",,https://www.mdpi.com/2075-1729/13/10/2051/pdf?version=1697188430
Space Microgravity Alters Neural Stem Cell Division: Implications for Brain Cancer Research on Earth and in Space,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9699585/,International Journal of Molecular Sciences,2022.0,"Sophia Shaka, Nicolas Carpo, Victoria Tran, Carlos Cepeda, Araceli Espinosa-Jeffrey",10.3390/ijms232214320,,,13.0,12.0,9.0,2.0,0.5,30.0,1.0,"Neural stem cell, Cytokinesis, Cell division, Weightlessness, Cell cycle","The frequent occurrence of abnormal cell division including incomplete cell division, where cytokinesis is not successfully completed, and multi-daughter cell division (MDCD) of N SCs following SPC-µG as well as secretome exposure compared to ground control NSCs are reported.",International Journal of Molecular Sciences,2022.0,"Sophia Shaka, Nicolas Carpo, Victoria Tran, Carlos Cepeda, Araceli Espinosa-Jeffrey",10.3390/ijms232214320,,['Medicine'],,14.0,13.0,9.0,2.0,0.5,30,1.0,"Neural stem cell, Cytokinesis, Cell division, Weightlessness, Cell cycle","The frequent occurrence of abnormal cell division including incomplete cell division, where cytokinesis is not successfully completed, and multi-daughter cell division (MDCD) of N SCs following SPC-µG as well as secretome exposure compared to ground control NSCs are reported.",https://www.mdpi.com/1422-0067/23/22/14320/pdf?version=1668772975
Oligodendrocyte Progenitors Display Enhanced Proliferation and Autophagy after Space Flight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9953055/,Biomolecules,2023.0,"Victoria Tran, Nicholas Carpo, Carlos Cepeda, Araceli Espinosa-Jeffrey",10.3390/biom13020201,,,9.0,9.0,9.0,1.0,10.0,11.0,3.0,"Autophagy, Cell biology, Oligodendrocyte, Biology, Neuroscience","It is shown that most OLPs divided more than ground control (GC) counterparts did, and a subpopulation of OLPs flown to space presented a significant increase in autophagic cell death, which may hold the key to modulating cell proliferation and autophagy during and after space missions.",Biomolecules,2023.0,"Victoria Tran, Nicholas Carpo, Carlos Cepeda, Araceli Espinosa-Jeffrey",10.3390/biom13020201,,['Medicine'],,9.0,9.0,9.0,1.0,10.0,11,3.0,"Autophagy, Cell biology, Oligodendrocyte, Biology, Neuroscience","It is shown that most OLPs divided more than ground control (GC) counterparts did, and a subpopulation of OLPs flown to space presented a significant increase in autophagic cell death, which may hold the key to modulating cell proliferation and autophagy during and after space missions.",https://www.mdpi.com/2218-273X/13/2/201/pdf?version=1674128942
Metabolomics profile of the secretome of space-flown oligodendrocytes.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10528075/,Cells,2023.0,"Laurent Vergnes, Bernard Foucaud, Carlos Cepeda, Araceli Espinosa-Jeffrey",10.3390/cells12182249,,,3.0,3.0,3.0,0.0,1.0,10.0,1.0,"Metabolomics, Computer science, Computational biology, Neuroscience, Biology","This work reports increased glutamate and energy metabolism while the OLPs were in space for 26 days and shows that after space flight, OLPs (SPC OLPs) display significantly increased mitochondrial respiration and glycolysis.",Cells,2023.0,"Laurent Vergnes, Bernard Foucaud, Carlos Cepeda, Araceli Espinosa-Jeffrey",10.3390/cells12182249,,['Medicine'],,3.0,3.0,3.0,0.0,1.0,10,1.0,"Metabolomics, Computer science, Computational biology, Neuroscience, Biology","This work reports increased glutamate and energy metabolism while the OLPs were in space for 26 days and shows that after space flight, OLPs (SPC OLPs) display significantly increased mitochondrial respiration and glycolysis.",https://www.mdpi.com/2073-4409/12/18/2249/pdf?version=1694436062
Metabolomic profiling of the secretome from human neural stem cells flown into space.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10813126/,Bioengineering,2023.0,"Juan Carlos Biancotti, Araceli Espinosa-Jeffrey",10.3390/bioengineering11010011,,,2.0,2.0,2.0,0.0,7.0,4.0,1.0,"Metabolome, Metabolomics, Catabolism, Glutamine, Glycolysis","The space environment appears to increase energy demands in response to the µG setting, and NSCs flown into space (SPC-NSCs) showed increased synthesis of NADH and formation of polyamine spermidine when compared to ground controls.",Bioengineering,2023.0,"Juan Carlos Biancotti, Araceli Espinosa-Jeffrey",10.3390/bioengineering11010011,,['Medicine'],,2.0,2.0,2.0,0.0,7.0,4,1.0,"Metabolome, Metabolomics, Catabolism, Glutamine, Glycolysis","The space environment appears to increase energy demands in response to the µG setting, and NSCs flown into space (SPC-NSCs) showed increased synthesis of NADH and formation of polyamine spermidine when compared to ground controls.",https://www.mdpi.com/2306-5354/11/1/11/pdf?version=1703239005
"Strategies, research priorities, and challenges for the exploration of space beyond low-Earth orbit",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10390562/,npj Microgravity,2023.0,"A. C. Stahn, D. Bucher, P. zu Eulenburg, P. Denise, N. Smith, F. Pagnini, O. White",10.1038/s41526-023-00295-y,,,14.0,15.0,12.0,0.0,6.449999999999999,39.0,13.0,"Spaceflight, Variety (cybernetics), Neurocognitive, Computer science, Cognition",An up-to-date roadmap that identifies critical research gaps related to human behavior and performance in altered gravity and space and highlights the need for a variety of target-specific countermeasures and a personalized administration schedule for mitigating potentially adverse effects of spaceflight on the central nervous system and performance.,npj Microgravity,2023.0,"A. C. Stahn, D. Bucher, P. zu Eulenburg, P. Denise, N. Smith, F. Pagnini, O. White",10.1038/s41526-023-00295-y,,['Medicine'],,15.0,15.0,13.0,0.0,6.449999999999999,39,13.0,"Spaceflight, Variety (cybernetics), Neurocognitive, Computer science, Cognition",An up-to-date roadmap that identifies critical research gaps related to human behavior and performance in altered gravity and space and highlights the need for a variety of target-specific countermeasures and a personalized administration schedule for mitigating potentially adverse effects of spaceflight on the central nervous system and performance.,https://www.nature.com/articles/s41526-023-00295-y.pdf
Spaceflight Induces Specific Alterations in the Proteomes of Arabidopsis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4290804/,Astrobiology,2015.0,"Robert J. Ferl, Jin Koh, Fiona Denison, Anna-Lisa Paul",10.1089/ast.2014.1210,,,62.0,64.0,59.0,6.0,76.85,68.0,19.0,"Spaceflight, Proteome, Arabidopsis, Proteomics, Biology","Leaves and roots from Arabidopsis seedlings from three GFP reporter lines grown from seed for 12 days on the International Space Station and preserved on orbit in RNAlater were returned to Earth and analyzed by using iTRAQ broad-scale proteomics procedures, showing that there are measurable proteomics responses to spaceflight and that the responses are organ-specific.",Astrobiology,2015.0,"Robert J. Ferl, Jin Koh, Fiona Denison, Anna-Lisa Paul",10.1089/ast.2014.1210,,"['Medicine', 'Biology']",,62.0,64.0,59.0,6.0,76.85,68,19.0,"Spaceflight, Proteome, Arabidopsis, Proteomics, Biology","Leaves and roots from Arabidopsis seedlings from three GFP reporter lines grown from seed for 12 days on the International Space Station and preserved on orbit in RNAlater were returned to Earth and analyzed by using iTRAQ broad-scale proteomics procedures, showing that there are measurable proteomics responses to spaceflight and that the responses are organ-specific.",https://europepmc.org/articles/pmc4290804?pdf=render
The effect of spaceflight on the gravity-sensing auxin gradient of roots: GFP reporter gene microscopy on orbit.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5515520/,npj Microgravity,2016.0,"Robert J Ferl, Anna-Lisa Paul",10.1038/npjmgrav.2015.23,,,55.0,62.0,60.0,0.0,5.1,96.0,7.0,"Spaceflight, Auxin, Green fluorescent protein, Gravitropism, Root cap","Plants on orbit, growing in the absence of any physical reference to the terrestrial gravity vector, displayed typically “vertical” distribution of auxin in the primary root, confirming that the establishment of the auxin-gradient system, the primary guide for gravity signaling in the root, is gravity independent.",npj Microgravity,2016.0,"Robert J Ferl, Anna-Lisa Paul",10.1038/npjmgrav.2015.23,,"['Biology', 'Medicine']",,55.0,62.0,60.0,0.0,5.1,96,7.0,"Spaceflight, Auxin, Green fluorescent protein, Gravitropism, Root cap","Plants on orbit, growing in the absence of any physical reference to the terrestrial gravity vector, displayed typically “vertical” distribution of auxin in the primary root, confirming that the establishment of the auxin-gradient system, the primary guide for gravity signaling in the root, is gravity independent.",https://www.nature.com/articles/npjmgrav201523.pdf
Skewing in Arabidopsis roots involves disparate environmental signaling pathways.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5286820/,BMC Plant Biology,2017.0,"Eric R. Schultz, Agata K. Zupanska, Natasha J. Sng, Anna-Lisa Paul, Robert J. Ferl",10.1186/s12870-017-0975-9,,,25.0,26.0,0.0,0.0,0.25,51.0,1.0,"Biology, Arabidopsis, Transcriptome, Gene, Arabidopsis thaliana","This work identifies a number of genes that are likely involved in skewing, using growth conditions that differentially affect skewing and waving, and identifies 11 genes whose change in expression level is associated with root skewing behavior.",BMC Plant Biology,2017.0,"Eric R. Schultz, Agata K. Zupanska, Natasha J. Sng, Anna-Lisa Paul, Robert J. Ferl",10.1186/s12870-017-0975-9,,,,25.0,26.0,0.0,0.0,0.25,51,1.0,"Biology, Arabidopsis, Transcriptome, Gene, Arabidopsis thaliana","This work identifies a number of genes that are likely involved in skewing, using growth conditions that differentially affect skewing and waving, and identifies 11 genes whose change in expression level is associated with root skewing behavior.",https://bmcplantbiol.biomedcentral.com/track/pdf/10.1186/s12870-017-0975-9
"Data for characterization of SALK_084889, a T-DNA insertion line of Arabidopsis thaliana",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5470433/,Data in Brief,2017.0,"Mingqi Zhou, Anna-Lisa Paul, Robert J. Ferl",10.1016/j.dib.2017.05.047,,,8.0,8.0,5.0,0.0,0.25,22.0,1.0,"Arabidopsis thaliana, Line (geometry), DNA, Biology, Genetics","The present data indicate that in SALK_084889, the expression of DREB2A is not downregulated under normal growth conditions but can be affected only in roots under drought treatment, while LOX1 is significantly downregulated in both roots and shoots under all tested conditions.",Data in Brief,2017.0,"Mingqi Zhou, Anna-Lisa Paul, Robert J. Ferl",10.1016/j.dib.2017.05.047,,"['Biology', 'Medicine']",,8.0,8.0,5.0,0.0,0.25,22,1.0,"Arabidopsis thaliana, Line (geometry), DNA, Biology, Genetics","The present data indicate that in SALK_084889, the expression of DREB2A is not downregulated under normal growth conditions but can be affected only in roots under drought treatment, while LOX1 is significantly downregulated in both roots and shoots under all tested conditions.",https://doi.org/10.1016/j.dib.2017.05.047
Genetic dissection of the Arabidopsis spaceflight transcriptome: Are some responses dispensable for the physiological adaptation of plants to spaceflight?,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5491145/,PLOS ONE,2017.0,"Anna-Lisa Paul, Natasha J. Sng, Agata K. Zupanska, Aparna Krishnamurthy, Eric R. Schultz, Robert J. Ferl",10.1371/journal.pone.0180186,,,63.0,65.0,58.0,4.0,50.0,77.0,10.0,"Spaceflight, Transcriptome, Biology, Adaptation (eye), Arabidopsis","The experiments presented here were designed to ask if portions of the plant spaceflight response can be genetically removed without causing loss of spaceflight survival and without causing increased stress responses, indicating that genetic manipulation could further reduce, or perhaps eliminate the metabolic cost of space flight adaptation.",PLOS ONE,2017.0,"Anna-Lisa Paul, Natasha J. Sng, Agata K. Zupanska, Aparna Krishnamurthy, Eric R. Schultz, Robert J. Ferl",10.1371/journal.pone.0180186,,"['Biology', 'Medicine']",,63.0,65.0,58.0,4.0,50.0,77,10.0,"Spaceflight, Transcriptome, Biology, Adaptation (eye), Arabidopsis","The experiments presented here were designed to ask if portions of the plant spaceflight response can be genetically removed without causing loss of spaceflight survival and without causing increased stress responses, indicating that genetic manipulation could further reduce, or perhaps eliminate the metabolic cost of space flight adaptation.",https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0180186&type=printable
Phenotypic characterization of an Arabidopsis T- DNA insertion line SALK_063500,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5996828/,Data in Brief,2018.0,"Natasha J. Sng, Anna-Lisa Paul, Robert J. Ferl",10.1016/j.dib.2018.03.107,,,0.0,0.0,0.0,0.0,,,,"Arabidopsis, Silique, Biology, Genetics, Arabidopsis thaliana","An aberrant silique phenotype is found in the heterozygous SALK_063500 plants that is attributed to the reduced rate of pollen tube germination, and a homozygous T-DNA allele is unattainable.",Data in Brief,2018.0,"Natasha J. Sng, Anna-Lisa Paul, Robert J. Ferl",10.1016/j.dib.2018.03.107,,"['Medicine', 'Biology']",,0.0,0.0,0.0,0.0,,,,"Arabidopsis, Silique, Biology, Genetics, Arabidopsis thaliana","An aberrant silique phenotype is found in the heterozygous SALK_063500 plants that is attributed to the reduced rate of pollen tube germination, and a homozygous T-DNA allele is unattainable.",https://doi.org/10.1016/j.dib.2018.03.107
Utilization of single‚Äêimage normalized difference vegetation index (SI‚ÄêNDVI) for early plant stress detection,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6201722/,Applications in Plant Sciences,2018.0,"Nicole S. Beisel, Jordan B. Callaham, Natasha J. Sng, Dylan J. Taylor, Anna‐Lisa Paul, Robert J. Ferl",10.1002/aps3.1186,,,49.0,53.0,53.0,3.0,42.4,110.0,20.0,"Normalized Difference Vegetation Index, Biology, Vegetation (pathology), Vegetation Index, Botany","Early detection of plant stress is possible using SI‐NDVI imaging, which is both simpler to use and more cost efficient than traditional dual‐image NDVI or hyper‐spectral imaging.",Applications in Plant Sciences,2018.0,"Nicole S. Beisel, Jordan B. Callaham, Natasha J. Sng, Dylan J. Taylor, Anna‐Lisa Paul, Robert J. Ferl",10.1002/aps3.1186,,"['Biology', 'Medicine']",,49.0,53.0,53.0,3.0,42.4,110,20.0,"Normalized Difference Vegetation Index, Biology, Vegetation (pathology), Vegetation Index, Botany","Early detection of plant stress is possible using SI‐NDVI imaging, which is both simpler to use and more cost efficient than traditional dual‐image NDVI or hyper‐spectral imaging.",https://europepmc.org/articles/pmc6201722?pdf=render
Comparing RNA-Seq and microarray gene expression data in two zones of the Arabidopsis root apex relevant to spaceflight.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6240453/,Applications in Plant Sciences,2018.0,"Aparna Krishnamurthy, Robert J. Ferl, Anna‐Lisa Paul",10.1002/aps3.1197,,,10.0,12.0,13.0,0.0,140.7,41.0,35.0,"Biology, Arabidopsis, Spaceflight, RNA-Seq, Apex (geometry)","The feasibility of using tiny root sections for transcriptome analysis was examined, comparing RNA sequencing to microarrays in characterizing genes that are relevant to spaceflight and suggesting that RNA‐Seq may miss some spaceflight‐relevant changes in gene expression.",Applications in Plant Sciences,2018.0,"Aparna Krishnamurthy, Robert J. Ferl, Anna‐Lisa Paul",10.1002/aps3.1197,,"['Biology', 'Medicine']",,10.0,13.0,13.0,0.0,140.7,41,35.0,"Biology, Arabidopsis, Spaceflight, RNA-Seq, Apex (geometry)","The feasibility of using tiny root sections for transcriptome analysis was examined, comparing RNA sequencing to microarrays in characterizing genes that are relevant to spaceflight and suggesting that RNA‐Seq may miss some spaceflight‐relevant changes in gene expression.",https://bsapubs.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aps3.1197
Spaceflight-induced alternative splicing during seedling development in Arabidopsis thaliana.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6447593/,npj Microgravity,2019.0,"Nicole S. Beisel, Jerald Noble, W. Brad Barbazuk, Anna-Lisa Paul, Robert J. Ferl",10.1038/s41526-019-0070-7,,,34.0,36.0,32.0,0.0,7.85,52.0,15.0,"Spaceflight, Alternative splicing, RNA splicing, Biology, Arabidopsis",This study provides the first evidence of a role for alternative splicing in the molecular processes of physiological adaptation to the spaceflight environment.,npj Microgravity,2019.0,"Nicole S. Beisel, Jerald Noble, W. Brad Barbazuk, Anna-Lisa Paul, Robert J. Ferl",10.1038/s41526-019-0070-7,,"['Biology', 'Medicine']",,34.0,37.0,32.0,0.0,8.35,52,16.0,"Spaceflight, Alternative splicing, RNA splicing, Biology, Arabidopsis",This study provides the first evidence of a role for alternative splicing in the molecular processes of physiological adaptation to the spaceflight environment.,https://www.nature.com/articles/s41526-019-0070-7.pdf
The Plant Health Monitoring System of the EDEN ISS Space Greenhouse in Antarctica during the 2018 experiment phase,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7264257/,Frontiers in Plant Science,2020.0,"Paul Zabel, Conrad Zeidler, Vincent Vrakking, Markus Dorn, Daniel Schubert",10.3389/fpls.2020.00656,,,32.0,35.0,36.0,0.0,0.5,60.0,1.0,"Greenhouse, Biomass (ecology), Environmental science, Greenhouse gas, Growing season",The data is shown in detail the data on edible and inedible biomass production of each crop grown in the EDEN ISS greenhouse in Antarctica during the 2018 season.,Frontiers in Plant Science,2020.0,"Paul Zabel, Conrad Zeidler, Vincent Vrakking, Markus Dorn, Daniel Schubert",10.3389/fpls.2020.00656,,"['Environmental Science', 'Medicine']",,32.0,35.0,36.0,0.0,0.5,60,1.0,"Greenhouse, Biomass (ecology), Environmental science, Greenhouse gas, Growing season",The data is shown in detail the data on edible and inedible biomass production of each crop grown in the EDEN ISS greenhouse in Antarctica during the 2018 season.,https://www.frontiersin.org/articles/10.3389/fpls.2020.00656/pdf
Root skewing-associated genes impact the spaceflight response of Arabidopsis thaliana.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7064724/,Frontiers in Plant Science,2020.0,"Brandon Califar, Natasha J. Sng, Agata Zupanska, Anna-Lisa Paul, Robert J. Ferl",10.3389/fpls.2020.00239,,,40.0,45.0,37.0,0.0,2.85,39.0,5.0,"Spaceflight, Biology, Arabidopsis, Cell biology, Arabidopsis thaliana",Different skewing behavior and markedly different patterns of gene expression in the spaceflight environment demonstrated that the two skewing pathways represented by SKU5 and SPR1 have unique and opposite contributions to physiological adaptation to spaceflight.,Frontiers in Plant Science,2020.0,"Brandon Califar, Natasha J. Sng, Agata Zupanska, Anna-Lisa Paul, Robert J. Ferl",10.3389/fpls.2020.00239,,"['Biology', 'Medicine']",,40.0,45.0,37.0,0.0,2.85,39,5.0,"Spaceflight, Biology, Arabidopsis, Cell biology, Arabidopsis thaliana",Different skewing behavior and markedly different patterns of gene expression in the spaceflight environment demonstrated that the two skewing pathways represented by SKU5 and SPR1 have unique and opposite contributions to physiological adaptation to spaceflight.,https://www.frontiersin.org/articles/10.3389/fpls.2020.00239/pdf
Articular cartilage and sternal fibrocartilage respond differently to extended microgravity.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6379395/,npj Microgravity,2019.0,"Jamie Fitzgerald, Jamie Endicott, Uwe Hansen, Cathleen Janowitz",10.1038/s41526-019-0063-6,,,33.0,34.0,32.0,1.0,74.3,47.0,23.0,"Spaceflight, Extracellular matrix, Cartilage, Fibrocartilage, Cell biology","It is speculated that the maintenance of physiological loading on AC during spaceflight will minimize AC damage, and it is proposed that each is tuned to the biomechanical environments in which they are normally maintained.",npj Microgravity,2019.0,"Jamie Fitzgerald, Jamie Endicott, Uwe Hansen, Cathleen Janowitz",10.1038/s41526-019-0063-6,,"['Chemistry', 'Medicine']",,33.0,34.0,32.0,1.0,74.3,47,23.0,"Spaceflight, Extracellular matrix, Cartilage, Fibrocartilage, Cell biology","It is speculated that the maintenance of physiological loading on AC during spaceflight will minimize AC damage, and it is proposed that each is tuned to the biomechanical environments in which they are normally maintained.",https://www.nature.com/articles/s41526-019-0063-6.pdf
Host-microbe interactions in microgravity: assessment and implications.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4187166/,Life,2014.0,"Jamie Foster, Raymond Wheeler, Regine Pamphile",10.3390/life4020250,,,27.0,33.0,32.0,0.0,6.25,88.0,3.0,"Biology, Microbiome, Host (biology), Spaceflight, Stressor",The current understanding of host-microbe interactions in microgravity is discussed and the impact of this unique environmental stress on the normal physiological and genetic responses of both pathogenic and mutualistic associations is assessed.,Life,2014.0,"Jamie Foster, Raymond Wheeler, Regine Pamphile",10.3390/life4020250,,"['Medicine', 'Biology']",,27.0,33.0,32.0,0.0,6.25,88,3.0,"Biology, Microbiome, Host (biology), Spaceflight, Stressor",The current understanding of host-microbe interactions in microgravity is discussed and the impact of this unique environmental stress on the normal physiological and genetic responses of both pathogenic and mutualistic associations is assessed.,https://www.mdpi.com/2075-1729/4/2/250/pdf?version=1401114287
Environmental cues and symbiont microbe-associated molecular patterns function in concert to drive the daily remodelling of the crypt-cell brush border of the Euprymna scolopes light organ,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5219934/,Cellular Microbiology,2016.0,"Elizabeth A. C. Heath‐Heckman, Jamie Foster, Michael A. Apicella, William E. Goldman, Margaret McFall‐Ngai",10.1111/cmi.12602,,,20.0,22.0,17.0,0.0,1.0,33.0,2.0,"Biology, Host (biology), Colonization, Juvenile, Brush border",It is demonstrated that a partnering of environmental and symbiont cues shapes the brush border and that microbe‐associated molecular patterns play a role in the regulation of brush‐border microarchitecture.,Cellular Microbiology,2016.0,"Elizabeth A. C. Heath‐Heckman, Jamie Foster, Michael A. Apicella, William E. Goldman, Margaret McFall‐Ngai",10.1111/cmi.12602,,"['Medicine', 'Biology']",,20.0,22.0,17.0,0.0,1.0,33,2.0,"Biology, Host (biology), Colonization, Juvenile, Brush border",It is demonstrated that a partnering of environmental and symbiont cues shapes the brush border and that microbe‐associated molecular patterns play a role in the regulation of brush‐border microarchitecture.,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/cmi.12602
Symbiotic organs shaped by distinct modes of genome evolution in cephalopods.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6386654/,Proceedings of the National Academy of Sciences,2019.0,"Mahdi Belcaid, Giorgio Casaburi, Sarah J. McAnulty, Hannah Schmidbaur, Andrea M. Suria, Silvia Moriano-Gutierrez, M. Sabrina Pankey, Todd H. Oakley, Natacha Kremer, Eric J. Koch, Andrew J. Collins, Hoan Nguyen, Sai Lek, Irina Goncharenko-Foster, Patrick Minx, Erica Sodergren, George Weinstock, Daniel S. Rokhsar, Margaret McFall-Ngai, Oleg Simakov, Jamie S. Foster, Spencer V. Nyholm",10.1073/pnas.1817322116,,,142.0,143.0,36.0,1.0,669.1499999999997,277.0,434.0,"Biology, Evolutionary biology, Genome, Host (biology), Gene","The genome of Euprymna scolopes, a model cephalopod with richly characterized host–microbe interactions, is analyzed and genomic signatures of host–symbiont interactions are revealed, suggesting that the two symbiotic organs within E. scolope originated by different evolutionary mechanisms.",Proceedings of the National Academy of Sciences,2019.0,"Mahdi Belcaid, Giorgio Casaburi, Sarah J. McAnulty, Hannah Schmidbaur, Andrea M. Suria, Silvia Moriano-Gutierrez, M. Sabrina Pankey, Todd H. Oakley, Natacha Kremer, Eric J. Koch, Andrew J. Collins, Hoan Nguyen, Sai Lek, Irina Goncharenko-Foster, Patrick Minx, Erica Sodergren, George Weinstock, Daniel S. Rokhsar, Margaret McFall-Ngai, Oleg Simakov, Jamie S. Foster, Spencer V. Nyholm",10.1073/pnas.1817322116,,"['Medicine', 'Biology']",,143.0,144.0,36.0,1.0,668.8999999999997,277,433.0,"Biology, Evolutionary biology, Genome, Host (biology), Gene","The genome of Euprymna scolopes, a model cephalopod with richly characterized host–microbe interactions, is analyzed and genomic signatures of host–symbiont interactions are revealed, suggesting that the two symbiotic organs within E. scolope originated by different evolutionary mechanisms.",https://www.pnas.org/content/pnas/116/8/3030.full.pdf
